date,added,removed,closed,total remaining
2012-10-09,0,0,1,135
2012-10-10,7,4,1,134
2012-10-11,0,0,2,132
2012-10-12,2,1,1,131
2012-10-13,0,0,0,131
2012-10-14,0,0,0,131
2012-10-15,7,8,2,129
2012-10-16,0,13,5,124
2012-10-17,1,2,0,124
2012-10-18,1,1,0,124
2012-10-19,4,6,4,120
2012-10-20,0,1,0,120
2012-10-21,0,2,1,119
2012-10-22,3,1,2,117
2012-10-23,0,2,3,114
2012-10-24,4,2,1,113
2012-10-25,0,3,0,113
2012-10-26,3,2,1,112
2012-10-27,0,1,1,111
2012-10-28,0,0,0,111
2012-10-29,4,2,1,110
2012-10-30,2,5,3,107
2012-10-31,2,10,4,103
2012-11-01,1,0,3,100
2012-11-02,2,0,3,97
2012-11-03,0,0,0,97
2012-11-04,0,0,2,95
2012-11-05,0,0,3,92
2012-11-06,0,0,1,91
2012-11-07,2,1,14,77
2012-11-08,2,0,3,74
2012-11-09,0,1,3,71
2012-11-10,0,0,2,69
2012-11-11,0,0,0,69
2012-11-12,0,0,1,68
2012-11-13,0,0,1,67
2012-11-14,0,1,2,65
2012-11-15,2,0,4,61
2012-11-16,4,2,1,60
2012-11-17,2,0,2,58
2012-11-18,0,0,1,57
2012-11-19,0,0,0,57
